FID,FID_fine_g,OBJECTID,StreamID,SHAPE_Leng,FID_C2VSim,NodeID,X,Y
0,0,1,1,63541.846991699997000,29236,29237,836337.556168999990000,3905701.049900000000000
1,2,3,3,112720.483972000000000,29236,29237,836337.556168999990000,3905701.049900000000000
2,0,1,1,63541.846991699997000,29147,29148,836550.729033999960000,3906511.106989999800000
3,2,3,3,112720.483972000000000,29147,29148,836550.729033999960000,3906511.106989999800000
4,0,1,1,63541.846991699997000,29067,29068,836508.094537999950000,3907235.894960000200000
5,2,3,3,112720.483972000000000,29067,29068,836508.094537999950000,3907235.894960000200000
6,0,1,1,63541.846991699997000,29068,29069,836138.594889000060000,3907960.681909999800000
7,2,3,3,112720.483972000000000,29068,29069,836138.594889000060000,3907960.681909999800000
8,0,1,1,63541.846991699997000,29070,29071,835857.191497000050000,3908764.849969999900000
9,2,3,3,112720.483972000000000,29070,29071,835857.191497000050000,3908764.849969999900000
10,2,3,3,112720.483972000000000,28991,28992,835356.961096000040000,3909381.834929999900000
11,0,1,1,63541.846991699997000,29072,29073,836121.775432999940000,3909413.079990000000000
12,2,3,3,112720.483972000000000,28912,28913,834717.442631999960000,3909992.929969999900000
13,0,1,1,63541.846991699997000,29073,29074,836386.359241000030000,3909995.164979999900000
14,2,3,3,112720.483972000000000,28911,28912,834220.039238999950000,3910632.448950000100000
15,0,1,1,63541.846991699997000,28995,28996,836756.776650000010000,3910696.311989999800000
16,2,3,3,112720.483972000000000,28910,28911,833651.578311000020000,3911158.274999999900000
17,0,1,1,63541.846991699997000,28996,28997,837206.569161999970000,3911238.708920000100000
18,2,3,3,112720.483972000000000,28909,28910,832884.155973999990000,3911698.313010000200000
19,0,1,1,63541.846991699997000,29078,29079,837868.028874999960000,3911754.647990000000000
20,2,3,3,112720.483972000000000,28908,28909,832315.695045999950000,3912195.716020000200000
21,2,3,3,112720.483972000000000,28832,28833,832078.252357000020000,3912359.438900000000000
22,0,1,1,63541.846991699997000,28999,29000,838123.990346999960000,3912375.878970000000000
23,0,1,1,63541.846991699997000,29001,29002,839403.027404000050000,3912631.685940000200000
24,0,1,1,63541.846991699997000,29000,29001,838706.662732000000000,3912674.320950000100000
25,2,3,3,112720.483972000000000,28831,28832,831534.061253000050000,3912749.966010000100000
26,0,1,1,63541.846991699997000,29081,29082,840612.667084999960000,3912980.774970000100000
27,0,1,1,63541.846991699997000,29082,29083,839829.373132999990000,3913001.185980000100000
28,0,1,1,63541.846991699997000,29083,29084,841179.467854000050000,3913256.992949999900000
29,2,3,3,112720.483972000000000,28747,28748,831132.279237000040000,3913465.098939999900000
30,2,3,3,112720.483972000000000,28829,28830,830155.543491999970000,3913474.752950000100000
31,0,1,1,63541.846991699997000,29084,29085,841534.755918000010000,3913740.185020000200000
32,2,3,3,112720.483972000000000,28744,28745,829317.063746999950000,3913858.464949999900000
33,0,1,1,63541.846991699997000,29162,29163,842387.447246999950000,3914180.741940000100000
34,2,3,3,112720.483972000000000,28743,28744,828535.429954000050000,3914199.540920000100000
35,0,1,1,63541.846991699997000,29085,29086,841932.678607000040000,3914237.588020000100000
36,0,1,1,63541.846991699997000,29163,29164,842594.333134999960000,3914683.413939999900000
37,2,3,3,112720.483972000000000,28654,28655,828094.872641999970000,3914910.116919999900000
38,0,1,1,63541.846991699997000,29249,29250,843311.196239999960000,3914919.740989999800000
39,0,1,1,63541.846991699997000,29250,29251,843879.657296000050000,3914976.586939999800000
40,2,3,3,112720.483972000000000,28741,28742,827299.027265000040000,3915194.347959999900000
41,0,1,1,63541.846991699997000,29252,29253,844064.407121000000000,3915374.510009999900000
42,2,3,3,112720.483972000000000,28652,28653,826555.828031999990000,3915474.841020000200000
43,0,1,1,63541.846991699997000,29253,29254,844618.656465000010000,3915729.797950000000000
44,2,3,3,112720.483972000000000,28651,28652,825704.190142999990000,3915865.066939999800000
45,0,1,1,63541.846991699997000,29343,29344,845201.328977999980000,3915914.547900000100000
46,0,1,1,63541.846991699997000,29344,29345,845911.905106000020000,3916170.355000000000000
47,2,3,3,112720.483972000000000,28568,28569,824969.834047000040000,3916423.755960000200000
48,0,1,1,63541.846991699997000,29256,29257,846480.366034999960000,3916525.642940000200000
49,2,3,3,112720.483972000000000,28567,28568,824171.312318000010000,3916808.693950000200000
50,0,1,1,63541.846991699997000,29258,29259,847063.038547000030000,3916937.777979999800000
51,2,3,3,112720.483972000000000,28566,28567,823321.619260999960000,3917140.668990000200000
52,0,1,1,63541.846991699997000,29169,29170,847574.653396000040000,3917364.122940000100000
53,2,3,3,112720.483972000000000,28480,28481,822472.734652000010000,3917403.817020000000000
54,0,1,1,63541.846991699997000,29261,29262,848015.210579999960000,3917705.199930000100000
55,2,3,3,112720.483972000000000,28479,28480,821599.697980000060000,3917907.790910000000000
56,0,1,1,63541.846991699997000,29263,29264,849010.017237000050000,3918017.852990000000000
57,0,1,1,63541.846991699997000,29264,29265,849706.381910000000000,3918131.545919999900000
58,0,1,1,63541.846991699997000,29262,29263,848313.652565000000000,3918145.756990000100000
59,0,1,1,63541.846991699997000,29173,29174,850431.169622999970000,3918415.775930000000000
60,2,3,3,112720.483972000000000,28388,28389,820907.359163000020000,3918439.487929999800000
61,0,1,1,63541.846991699997000,29174,29175,850857.210582999980000,3918465.038650000000000
62,0,1,1,63541.846991699997000,29175,29176,851084.899670999960000,3918799.486910000000000
63,2,3,3,112720.483972000000000,28386,28387,820198.086969999950000,3918877.893949999900000
64,0,1,1,63541.846991699997000,29097,29098,851767.052759999990000,3919041.082940000100000
65,0,1,1,63541.846991699997000,29098,29099,852491.840471999950000,3919197.409980000000000
66,2,3,3,112720.483972000000000,28385,28386,819280.023737999960000,3919347.610940000000000
67,0,1,1,63541.846991699997000,29178,29179,853159.782104999990000,3919524.275010000000000
68,0,1,1,63541.846991699997000,29272,29273,854399.495257999980000,3919640.878270000200000
69,2,3,3,112720.483972000000000,28384,28385,818503.842105000050000,3919760.382910000200000
70,0,1,1,63541.846991699997000,29179,29180,853890.575194000030000,3919864.019900000200000
71,0,1,1,63541.846991699997000,29273,29274,854742.078810999980000,3919956.574910000000000
72,2,3,3,112720.483972000000000,28292,28293,817738.530743999990000,3920210.771900000100000
73,0,1,1,63541.846991699997000,29275,29276,856010.078556000020000,3920373.070909999800000
74,0,1,1,63541.846991699997000,29274,29275,855371.450971000010000,3920465.625920000000000
75,0,1,1,63541.846991699997000,29276,29277,856667.217244000060000,3920521.158970000200000
76,2,3,3,112720.483972000000000,28293,28294,817056.640951000040000,3920682.169919999800000
77,0,1,1,63541.846991699997000,29277,29278,857157.757277000000000,3920835.844930000100000
78,0,1,1,63541.846991699997000,29278,29279,857805.640413000020000,3921150.531010000000000
79,2,3,3,112720.483972000000000,28202,28203,816273.013303000010000,3921259.760960000100000
80,0,1,1,63541.846991699997000,29279,29280,858332.226269999980000,3921300.748350000000000
81,0,1,1,63541.846991699997000,29280,29281,858324.477022000010000,3921661.211070000200000
82,2,3,3,112720.483972000000000,28201,28202,815814.250421999950000,3921934.633020000100000
83,0,1,1,63541.846991699997000,29281,29282,859071.775839000010000,3921968.656959999800000
84,0,1,1,63541.846991699997000,29284,29285,859583.390687000010000,3922480.271939999900000
85,2,3,3,112720.483972000000000,28109,28110,815288.919349999980000,3922544.227899999800000
86,0,1,1,63541.846991699997000,29285,29286,860080.793951999980000,3923062.943940000100000
87,2,3,3,112720.483972000000000,28107,28108,814548.458548999970000,3923074.842939999900000
88,2,3,3,112720.483972000000000,28108,28109,813983.188532999950000,3923593.552960000000000
89,0,1,1,63541.846991699997000,29192,29193,860393.447520000050000,3923659.827910000000000
90,2,3,3,112720.483972000000000,28017,28018,813162.986675999940000,3924003.675970000200000
91,0,1,1,63541.846991699997000,29193,29194,860649.255007999950000,3924313.557949999800000
92,2,3,3,112720.483972000000000,27930,27931,812496.884531000050000,3924476.329919999900000
93,0,1,1,63541.846991699997000,29194,29195,861246.874209000030000,3924719.516989999900000
94,2,3,3,112720.483972000000000,27931,27932,811859.803442999950000,3925095.962950000100000
95,0,1,1,63541.846991699997000,29292,29293,861700.907744999970000,3925265.729989999900000
96,0,1,1,63541.846991699997000,29291,29292,862368.849249999970000,3925592.595009999800000
97,2,3,3,112720.483972000000000,27836,27837,811310.505138000010000,3925642.591940000200000
98,0,1,1,63541.846991699997000,29294,29295,862937.310178000010000,3926047.363909999800000
99,0,1,1,63541.846991699997000,29197,29198,862527.096674000030000,3926117.309640000100000
100,0,1,1,63541.846991699997000,29295,29296,863790.001634999990000,3926132.632900000100000
101,0,1,1,63541.846991699997000,29296,29297,864585.846884000000000,3926146.845000000200000
102,2,3,3,112720.483972000000000,27837,27838,810816.037426000000000,3926260.371910000200000
103,0,1,1,63541.846991699997000,29372,29373,865168.519395999960000,3926544.766919999800000
104,2,3,3,112720.483972000000000,27838,27839,810287.827248999970000,3926894.574020000200000
105,0,1,1,63541.846991699997000,29373,29374,865381.692260000040000,3927326.400960000200000
106,2,3,3,112720.483972000000000,27839,27840,809767.513137000030000,3927505.262019999800000
107,0,1,1,63541.846991699997000,29375,29376,866703.363941999970000,3927582.208960000000000
108,0,1,1,63541.846991699997000,29374,29375,865879.095653000050000,3927781.169989999800000
109,0,1,1,63541.846991699997000,29443,29444,867357.093989999960000,3928036.976970000200000
110,2,3,3,112720.483972000000000,27738,27739,809258.714415999940000,3928092.572999999900000
111,0,1,1,63541.846991699997000,29506,29507,868479.804390999950000,3928250.149960000100000
112,0,1,1,63541.846991699997000,29816,29817,877598.676080000000000,3928280.837960000100000
113,0,1,1,63541.846991699997000,29867,29868,878419.898609000030000,3928314.061000000200000
114,0,1,1,63541.846991699997000,29817,29818,876799.402479000040000,3928495.896009999800000
115,0,1,1,63541.846991699997000,29507,29508,867811.862759000040000,3928577.014980000000000
116,2,3,3,112720.483972000000000,27739,27740,808705.961904000030000,3928715.691970000000000
117,0,1,1,63541.846991699997000,29565,29566,868948.784616000020000,3928733.342019999900000
118,0,1,1,63541.846991699997000,29912,29913,879175.776497000010000,3928748.831939999900000
119,0,1,1,63541.846991699997000,29658,29659,874092.987757000020000,3929127.952970000000000
120,0,1,1,63541.846991699997000,29659,29660,873119.433452000030000,3929175.352899999800000
121,0,1,1,63541.846991699997000,29762,29763,876478.741487000020000,3929286.394950000100000
122,0,1,1,63541.846991699997000,29510,29511,868962.996200000050000,3929316.014920000000000
123,0,1,1,63541.846991699997000,29956,29957,879869.655025999990000,3929329.539009999900000
124,2,3,3,112720.483972000000000,27639,27640,808176.794031000000000,3929337.464010000200000
125,0,1,1,63541.846991699997000,29614,29615,872355.145066999950000,3929561.263940000000000
126,0,1,1,63541.846991699997000,29997,29998,880702.047731000000000,3929671.448009999900000
127,0,1,1,63541.846991699997000,29511,29512,868479.804390999950000,3929784.995010000200000
128,0,1,1,63541.846991699997000,29708,29709,874799.436269000060000,3929787.456970000200000
129,0,1,1,63541.846991699997000,30038,30039,881477.094643000050000,3929965.123019999800000
130,2,3,3,112720.483972000000000,27527,27528,807713.772334999990000,3930025.381959999900000
131,0,1,1,63541.846991699997000,29763,29764,876399.308143000000000,3930059.836999999800000
132,0,1,1,63541.846991699997000,29764,29765,875513.720045999970000,3930207.012939999800000
133,0,1,1,63541.846991699997000,29514,29515,870104.843497000050000,3930236.216010000100000
134,0,1,1,63541.846991699997000,29449,29450,868565.073511000020000,3930381.878980000000000
135,0,1,1,63541.846991699997000,29615,29616,871795.540842000050000,3930504.808009999800000
136,0,1,1,63541.846991699997000,29450,29451,869206.838632000030000,3930504.948940000000000
137,0,1,1,63541.846991699997000,29568,29569,870936.947178000000000,3930624.222920000100000
138,2,3,3,112720.483972000000000,27528,27529,807330.125741999950000,3930752.987980000200000
139,2,3,3,112720.483972000000000,27411,27412,807268.435886000050000,3931500.722120000000000
140,2,3,3,112720.483972000000000,27412,27413,807047.606446000050000,3932233.963980000000000
141,2,3,3,112720.483972000000000,27299,27300,806867.104046000050000,3932975.491909999900000
142,2,3,3,112720.483972000000000,27300,27301,806668.666029999960000,3933835.389899999800000
143,2,3,3,112720.483972000000000,27301,27302,806456.998957999980000,3934695.286989999900000
144,2,3,3,112720.483972000000000,27302,27303,806258.561069000050000,3935449.350990000200000
145,2,3,3,112720.483972000000000,27303,27304,806099.810733000050000,3936229.873999999800000
146,2,3,3,112720.483972000000000,27190,27191,805914.602028999940000,3936970.708939999800000
147,2,3,3,112720.483972000000000,27074,27075,805835.227053000010000,3937764.459979999800000
148,2,3,3,112720.483972000000000,27075,27076,805729.393453000000000,3938531.752909999800000
149,1,2,2,76851.504394500007000,29389,29390,869089.522280000030000,3938546.413009999800000
150,1,2,2,76851.504394500007000,29310,29311,867528.013541999970000,3938757.072980000200000
151,1,2,2,76851.504394500007000,29311,29312,868394.916455000060000,3938884.976979999800000
