,subreg,StreamID,nodeID
2,1,63,712
3,2,80,3758
4,2,77,3014
5,2,75,2347
6,2,72,2154
7,3,84,4066
8,4,92,5970
9,5,95,5459
10,5,96,6606
11,6,107,9007
12,6,105,7784
13,7,98,8093
14,8,46,13679
15,8,48,13113
16,8,49,11726
17,8,51,10315
18,8,102,9975
19,9,53,13056
20,9,109,11802
21,10,40,16395
22,11,44,15396
23,12,38,17439
24,12,42,16324
25,13,25,20617
26,13,28,19127
27,13,32,18326
28,13,35,18045
30,15,21,23584
31,16,22,21682
32,17,8,23477
33,18,4,27582
34,18,5,27017
35,18,6,26071
36,18,7,25428
37,19,3,27300
38,20,2,28143
39,21,1,29175
