,Target_for_rch_1,Target_for_rch_2,Target_for_rch_3,Target_for_rch_4,Target_for_rch_5,Target_for_rch_6,Target_for_rch_7,Target_for_rch_8,Target_for_rch_9,Target_for_rch_10,Target_for_rch_11,Target_for_rch_12,Target_for_rch_13,Target_for_rch_14,Target_for_rch_15,Target_for_rch_16,Target_for_rch_17,Target_for_rch_18,Target_for_rch_19,Target_for_rch_20,Target_for_rch_21,Target_for_rch_22,Target_for_rch_23,Target_for_rch_24,Target_for_rch_25,Target_for_rch_26,Target_for_rch_27,Target_for_rch_29,Target_for_rch_30,Target_for_rch_31,Target_for_rch_32,Target_for_rch_33,Target_for_rch_34,Target_for_rch_35,Target_for_rch_36,Target_for_rch_37,Target_for_rch_38,NA,NA
1,1625,4042,3384,3132,2398,8463,9102,8520,7870,12681,8942,10934,15652,14608,13670,11324,11189,15751,10742,21142,17186,18306,18167,22490,21100,19828,19525,27309,23930,26176,28716,28832,28293,27367,31885,31173,32475,NA,NA
2,1627,4048,3385,3076,2163,8718,9103,8650,7871,11475,9299,10935,15482,14607,13062,11325,11419,15752,11805,21141,17189,18225,18084,22194,21101,19910,19082,27173,24284,26177,28604,28724,28410,27517,31886,31177,32476,NA,NA
3,1628,3963,3386,3062,2159,8719,9219,8651,7881,11602,8823,10933,15247,14611,13056,11213,11068,15663,11813,21030,17534,18634,18085,22592,21102,19743,19273,27175,24285,25844,28717,29356,28411,27368,31827,31087,32452,NA,NA
4,1568,3964,3310,3075,2401,8720,8752,8522,7754,11600,8824,10823,15407,14695,12907,11329,10951,15664,11281,21027,17190,18309,18168,22400,20716,19832,19688,27174,23932,25955,28945,28725,28294,27645,31887,31088,32497,NA,NA
5,1506,3880,3398,3074,2102,8721,8491,8523,7757,11727,9185,10820,15169,14524,13060,11336,10950,15413,11674,20914,17392,18401,18249,23054,21103,19829,18990,27176,24379,25845,29581,29220,28413,27646,31829,31092,32498,NA,NA
6,1507,3804,3317,3000,2624,8722,8353,8656,7882,11474,10116,10825,15077,14694,12752,11212,10838,15493,11148,20912,17533,18508,18250,22195,21220,20352,19532,27177,24199,25847,29709,29349,28526,27518,31763,31930,32037,NA,NA
7,1443,4152,3323,2866,2099,8469,7686,8390,8017,11472,9075,10822,15067,14523,12754,11088,10837,15946,11022,20915,17535,18511,17679,22301,21226,19830,19687,27041,24286,25958,29834,29080,28180,27369,31828,31089,32451,NA,NA
8,1509,4145,3322,2868,2162,8596,7688,8391,7641,11473,9076,10824,14985,14527,12756,11087,11058,16028,10200,20913,17393,18514,18171,22593,20441,19745,19533,27042,24024,25846,30158,29350,28636,27370,31688,31090,32512,NA,NA
9,1446,4157,3246,2653,2161,8852,7561,8527,7758,11471,9187,10826,14982,14606,12758,11202,10715,15414,10914,20792,17537,18507,18172,22399,20720,19831,19187,27824,24109,25848,29946,29353,28181,27519,31831,32146,32477,NA,NA
10,1600,3803,3245,2801,2101,8723,7563,8247,7759,11347,9077,10702,14984,14526,12755,11337,11055,15415,10789,20797,17536,18638,17385,22924,20857,19746,19610,27933,24289,25959,30056,28953,28527,27230,31764,31980,32513,NA,NA
11,1448,4153,3238,2654,2625,8730,7810,8528,7760,11470,8957,10703,14910,14598,12757,11211,10936,15334,10788,20793,17196,18516,18092,22498,20990,20007,19608,27825,24200,25960,28825,28833,28182,27231,31830,31091,32478,NA,NA
12,1664,4158,3165,2802,2097,8726,7564,8392,7645,11469,9078,10692,14824,14605,12592,11210,10937,15417,10915,20661,17402,18409,16740,22303,20728,19834,18493,27936,24293,25723,28718,28834,28748,27521,31766,31931,32499,NA,NA
13,1379,4144,3329,2669,2091,8597,7690,8394,7646,11597,9188,10705,14907,14525,12594,11190,11053,15505,10790,20794,17197,18404,18093,22302,20861,19669,19276,27044,24110,25849,30161,29354,28068,27232,31689,31093,32453,NA,NA
14,1380,3967,3405,2800,2093,8731,7811,8529,7523,10614,9304,10587,14903,14522,12595,11207,10939,15506,10916,20798,17408,18405,16742,21812,20864,19668,18618,27043,24287,26071,28947,28726,28414,27102,31765,30993,32500,NA,NA
15,1547,4159,3477,2655,2090,8859,7812,8248,7398,10613,8574,10693,14908,14599,12593,11089,10938,15782,10917,20662,17410,18518,16741,22807,20589,19931,18759,27045,24026,25724,30159,29221,28749,27648,31767,30994,32502,NA,NA
16,1548,4154,3542,2656,2693,8471,7691,8399,7399,10501,9305,10706,14893,14604,12762,11086,10827,15783,10919,20660,17407,18517,17920,22197,20863,19930,19370,27935,24213,25969,29342,29230,28415,27372,31690,32033,32479,NA,NA
17,1311,4156,3544,2588,2092,8727,7692,8249,7382,10500,8837,10589,14909,14442,12596,11081,10714,15267,NA,20663,17411,18410,17819,22404,20731,19932,19093,27934,24212,25850,28606,28954,28069,27371,31691,30995,32480,NA,NA
18,1546,4058,3479,2805,2110,8733,7567,8107,7073,10499,9079,10603,14894,14601,12763,11208,10716,15347,NA,20515,16880,18641,18007,22198,20591,19847,19617,26919,24290,25963,30160,29229,28637,27520,31594,31981,32501,NA,NA
19,1312,3807,3546,2603,2032,8598,7695,8251,6956,10502,8575,10602,14901,14441,12766,11209,10932,15348,NA,20513,17412,18411,17088,21814,20732,NA,19613,26920,24292,25965,29462,29222,28183,27649,31692,31094,31988,NA,NA
20,1484,4074,3613,2589,2048,8599,7568,8109,7067,10391,8838,10478,14729,14521,12600,11079,10606,15794,NA,20668,17409,18519,17181,22808,20592,NA,19371,26808,24206,25855,28607,29081,28528,27233,31595,30996,32426,NA,NA
21,1240,4070,3614,2733,2554,8600,7699,8108,6949,10510,9189,10369,14815,14438,12922,11082,10818,15804,NA,20664,17298,18522,16743,22082,20733,NA,19188,26922,23662,25964,29582,28835,27962,27650,31693,31095,32428,NA,NA
22,1313,3806,3547,2804,1989,8601,8084,8252,6960,10400,8958,10373,14820,14435,12601,10962,10815,15269,NA,20514,17299,18521,18008,21815,20734,NA,19538,26923,23755,25851,29710,29083,28750,27522,31596,31185,32154,NA,NA
23,1314,4066,3551,2673,2111,8602,7701,7974,6523,10401,9190,10370,14817,14600,12767,11084,10814,15432,NA,20516,17561,18524,17387,22809,20593,NA,19277,26810,24111,25856,30164,29082,28638,27374,31598,31184,32482,NA,NA
24,1417,4072,3091,2515,2638,8472,7572,7975,NA,10629,8580,10251,14822,14520,12923,10961,10816,15801,NA,20667,16882,18523,17922,21947,20594,NA,19368,26811,24288,25853,29835,29352,27749,27373,31396,30997,32389,NA,NA
25,1242,3968,3548,2734,2178,8473,7824,8253,NA,10290,9080,10273,14902,14510,12920,10963,10601,14563,NA,20381,17562,18647,18009,23063,20595,NA,19539,26701,24211,25725,28827,28727,27857,27523,31306,32200,32481,NA,NA
26,1487,4069,3411,2516,2555,8474,7702,7976,NA,10402,8585,10269,14819,14437,12921,10952,10495,15438,NA,20650,17559,18414,16744,21816,20596,NA,19285,26812,24291,25852,30057,29351,28299,27651,31397,32250,31939,NA,NA
27,1416,4055,3549,2517,2626,8475,7825,7977,NA,10514,8839,10159,14816,14509,12924,10839,10496,15440,NA,20669,17301,18235,16868,22931,20597,NA,19281,26925,24207,25857,29947,29087,28070,27375,31307,31934,32388,NA,NA
28,1488,3992,3550,2604,2050,8334,7573,7849,NA,10291,8959,10158,14811,14603,12925,10841,10594,14564,NA,20517,17295,18526,18010,21697,21000,NA,19094,26703,23845,25729,30163,29223,28184,27103,31218,30898,32457,NA,NA
29,1418,4057,3335,2443,2034,8188,7703,7978,NA,10515,8578,10065,14821,14352,12769,10840,10592,14380,NA,20382,17413,18779,18101,21948,20999,NA,18497,26702,24129,25726,28826,28836,28416,27652,31308,30900,32202,NA,NA
30,1419,4073,3485,2674,2179,8186,7451,7726,NA,10403,8712,10039,14804,14602,12602,10723,10481,14381,NA,20519,17720,18650,17089,21698,20598,NA,18998,26704,24210,25728,29075,29088,28641,27234,31219,30899,32427,NA,NA
31,1349,3884,3414,2735,2049,8335,7704,7850,NA,10166,8586,9859,14818,14440,12773,10717,10389,14272,NA,21389,17711,18528,17684,22932,20873,NA,19282,26597,24208,25727,28719,29084,29129,27766,31131,32297,32429,NA,NA
32,1171,4071,3486,2736,2627,8336,7826,7979,NA,10292,8456,9860,14728,14353,12770,10608,NA,14274,NA,20258,17721,18318,17921,22933,20466,NA,18621,26598,24128,25861,28948,29085,29008,27235,31220,31878,32203,NA,NA
33,1172,4056,3487,2444,2182,8337,7575,8256,NA,10404,8713,9732,14802,14436,12926,NA,NA,14077,NA,20520,17425,18527,17182,21700,20465,NA,19189,26499,23938,25730,29215,28728,28529,27524,31132,30901,32504,NA,NA
34,1099,3730,3415,2605,2636,8478,7111,7727,NA,10293,8711,9814,14812,14514,12774,NA,NA,14078,NA,20518,17576,18418,16984,22812,20599,NA,18762,26500,24209,25860,30162,28956,29139,27376,31039,31984,31940,NA,NA
35,1102,4067,3256,2522,2112,8189,7709,7980,NA,10405,8840,9933,14733,14439,12772,NA,NA,13640,NA,20383,17564,18782,18011,22934,20339,NA,19283,26398,24116,25595,29343,29086,28185,27236,30942,31096,32483,NA,NA
36,1346,3808,3255,2524,2181,8607,7705,7600,NA,10176,8453,9832,14721,14346,12775,NA,NA,NA,NA,20259,17423,18416,17277,21819,20746,NA,18630,26305,24031,25593,29463,29227,29138,27525,31401,31818,32155,NA,NA
37,1279,3975,3093,2675,2257,8051,7576,7851,NA,10294,9801,9703,14633,14519,12927,NA,NA,NA,NA,20386,17718,18896,17092,22935,20600,NA,18888,26213,24035,25731,29583,29226,27963,27379,31133,30999,32458,NA,NA
38,1101,3986,3338,2448,2637,8190,6654,7728,NA,10177,8459,9702,14807,14433,13084,NA,NA,NA,NA,20260,16884,18652,18012,22814,20604,NA,19286,26214,24032,25594,28608,28955,29006,27104,31311,31880,31993,NA,NA
39,1100,4065,3416,2676,2051,8338,7707,8119,NA,10178,8587,9581,14814,14341,12434,NA,NA,NA,NA,20671,17426,18417,17388,21703,20603,NA,19278,26541,24033,25733,29711,29224,29140,27526,31040,30998,32459,NA,NA
40,1411,3988,3488,2446,2184,8050,7578,7605,NA,10298,9672,9701,14734,14516,12604,NA,NA,NA,NA,20263,17209,18651,17529,22706,20467,NA,18997,26243,23949,25739,30058,29097,27858,27380,30943,31985,32392,NA,NA
